Sheet Name,Employee Code,Name,Month,Day,Value
Apr 2022,Atq -331,Jonah Hamilton,April,1,HPL
Apr 2022,Atq -334,Boston Morse,April,1,P
June 2022,Atq -334,Boston Morse,June,1,P
June 2022,Atq -334,Charity Singleton,June,1,P
Apr 2022,Atq -335,Madelynn Gray,April,1,P
Apr 2022,Atq -335,Tori Shannon,April,1,P
June 2022,Atq -335,Madelynn Gray,June,1,P
June 2022,Atq -335,Tori Shannon,June,1,P
Apr 2022,Atq -343,Myla Klein,April,1,P
June 2022,Atq -343,Myla Klein,June,1,P
Apr 2022,Atq -348,Weston Horton,April,1,P
June 2022,Atq -348,Weston Horton,June,1,P
Apr 2022,Atq -349,Trystan Ortega,April,1,P
June 2022,Atq -349,Trystan Ortega,June,1,P
June 2022,Atq -350,Alexander Davenport,June,1,WFH
June 2022,Atq -362,Kiana Mcmillan,June,1,P
June 2022,Atq -364,Keaton Nixon,June,1,P
Apr 2022,Atq -366,Peter Pandey,April,1,P
June 2022,Atq -366,Peter Pandey,June,1,P
Apr 2022,Atq -367,Briley Orr,April,1,P
June 2022,Atq -367,Briley Orr,June,1,P
Apr 2022,Atq -368,Macie Callahan,April,1,P
June 2022,Atq -368,Macie Callahan,June,1,P
Apr 2022,Atq -369,Greta Horton,April,1,P
Apr 2022,Atq -370,Ella Roth,April,1,P
June 2022,Atq -370,Ella Roth,June,1,P
June 2022,Atq -371,Kayleigh Kennedy,June,1,P
Apr 2022,Atq -372,Miley Combs,April,1,LWP
June 2022,Atq -372,Miley Combs,June,1,P
Apr 2022,Atq -373,Isiah Small,April,1,P
June 2022,Atq -373,Isiah Small,June,1,P
Apr 2022,Atq -374,Kaley Fitzpatrick,April,1,P
June 2022,Atq -374,Kaley Fitzpatrick,June,1,P
Apr 2022,Atq -375,Hailee Fitzpatrick,April,1,P
Apr 2022,Atq -375,Kenley Marsh,April,1,P
June 2022,Atq -375,Hailee Fitzpatrick,June,1,P
June 2022,Atq -375,Kenley Marsh,June,1,P
Apr 2022,Atq -376,Dominique Benjamin,April,1,P
June 2022,Atq -376,Dominique Benjamin,June,1,P
Apr 2022,Atq -382,Gustavo Ritter,April,1,WFH
June 2022,Atq -382,Gustavo Ritter,June,1,WFH
